Ticket Number/ID,Date of Apprehension,Time of Apprehension,Name of Driver,Gender,Age,Phone Number,Address,Driver's License No.,Driver's License Type,Date of Birth,Plate No.,Type/Model of Vehicle,Vehicle Make,Vehicle Model,Vehicle Year,Vehicle Color,Classification of Vehicle,Vehicle Owner's Name,Vehicle Owner's Address,Place of Violation,Violation Type,Violation Description,Fine Amount,Fine Status,Apprehending Officer,Note/Remarks,Accident,Personal Injury,Property Damage
40277CF7,2024-02-13,19:10:24,Shane Hartman,Female,25,819-789-3803,"0726 Vance Dam Suite 188
Port Johnview, NE 83394",DL14287388,Professional,1963-06-13,OI3134,Present,Honda,Corolla,2015,Black,PUV,Aaron Miller,"PSC 6173, Box 7312
APO AP 52537",Aguinaldo,Illegal Parking,Could soldier admit light heart nor still.,911,Paid,Karina Sanchez,None,No,Yes,Yes
13282BD6,2024-05-08,05:47:12,Jennifer Jones,Male,25,687.413.8516x011,"17778 Phillips Rue Apt. 083
Clarkhaven, ID 95318",DL20503533,Non-Professional,1977-09-09,cy9308,Conference,Honda,Civic,2001,Gray,PUV,Donald Williams,"31990 Jeremy Courts Suite 466
Buchananfurt, VT 05422",Iligan City Proper,Illegal Parking,Public family cultural rest appear close shake space might seem compare science.,1559,Disputed,Norma Rodriguez,Repeat offense,Yes,Yes,Yes
CF4FBF2E,2024-04-15,02:24:38,Sean Morgan,Female,35,(244)100-4392x932,"69303 Kyle Trail
West Alexandria, MN 96996",DL92738412,Non-Professional,1972-06-29,AV7238,Issue,Ford,Altima,2013,White,TRI,Brandi Cruz,"2650 Banks Mountain
Lake Davidfurt, DC 24159",Barangay Santiago,Illegal Parking,Black friend little raise thank federal pass him.,3595,Pending,Sarah Miller,Repeat offense,Yes,No,No
0959BC35,2024-10-27,21:28:56,Chris Martinez,Male,52,2100419725,"9490 Matthew Haven Apt. 607
North Natalie, MI 14195",DL94331316,Student,1956-03-07,jd5759,Experience,Mitsubishi,Altima,2021,Silver,PUJ,Barry Barker,"1381 Herman Trail
Jenningschester, NJ 96459",Linamon Road,No Seatbelt,Radio this happy lawyer management new care live particular people never human draw.,4528,Pending,Ashley Gilbert,First offense,Yes,No,No
F5BCFD3C,2024-01-27,19:39:41,Tiffany Wright,Female,74,001-325-444-0002x8085,"908 Nathan Well Apt. 007
Weberville, OK 94998",DL15891486,Student,2005-10-17,mR9762,Plan,Ford,Corolla,2020,White,TRI,Emily Weber,"0403 Jordan Avenue
Whiteheadmouth, IA 31650",Iligan City Proper,No Seatbelt,New position unit keep material hundred artist draw most admit decide television.,4118,Paid,Matthew Martin,Repeat offense,No,No,Yes
73C8BC1F,2024-03-31,15:24:25,Dalton Gonzales,Male,66,045.075.3165,"USNV Jacobs
FPO AA 43807",DL94920876,Non-Professional,1950-06-01,zh0633,Call,Toyota,Corolla,2020,Blue,Gov't Vehicle,Raven Decker,"74215 Jared Mountains
Ericamouth, DE 09357",Pala-o,Over Speeding,None money conference man cell work poor believe present Republican identify him.,1785,Disputed,Margaret Baker,None,Yes,No,Yes
FA4E5310,2024-10-14,01:55:26,Stephen Sanchez,Female,54,(124)514-8394x78887,"935 Spencer Knoll
Robertshire, IA 57469",DL69978179,Student,1980-08-11,Bq1018,Usually,Honda,Corolla,2008,Silver,PUV,Michael Castillo,"2407 Christian Ville
Kyletown, WV 86977",Barangay Tomas Cabili,No Seatbelt,Box know sing sort practice half thank great want painting enter know.,4615,Pending,James Allen,None,Yes,No,No
E942BCBD,2024-05-06,22:22:42,Jacqueline Taylor,Male,21,(474)855-6576x354,"2051 Austin Plaza Apt. 411
West Rebeccaberg, MS 83895",DL65626898,Non-Professional,1997-09-25,qI5718,Already,Toyota,Corolla,2011,Gray,TRI,Jason Simpson Jr.,"6715 Debbie Well Suite 514
Marthachester, MS 17852",San Miguel,No Seatbelt,Soon turn put section determine easy identify approach task address value people.,4522,Pending,Dominique Smith,Repeat offense,No,Yes,Yes
F995549F,2024-06-02,21:21:09,Ronald Allen,Male,58,188.618.3201,"Unit 9940 Box 1127
DPO AP 58901",DL81988604,Non-Professional,1964-10-20,If3463,Our,Nissan,Lancer,2003,Red,Gov't Vehicle,Kathy Burke,"7266 Holt Plains
Martintown, KY 96527",Barangay Santiago,No Seatbelt,Difference increase significant draw itself growth way serious everything shake explain partner.,3291,Paid,Daniel Gomez,First offense,Yes,No,Yes
A02589A8,2024-09-11,21:24:31,Sherry Aguirre,Male,72,443-949-8509x8861,"42918 Stewart Mountain
Stewartchester, ID 11433",DL86215032,Student,1995-09-23,yn0504,Memory,Mitsubishi,Lancer,2009,Blue,MC,Deborah Peterson,"2580 Michael Crossroad Apt. 454
Lake Jeffreyfort, NH 92236",Aguinaldo,Reckless Driving,Sometimes during old into no environment where.,2679,Paid,Carol Hicks,Repeat offense,No,Yes,Yes
7F77EA1C,2024-11-03,05:11:07,Antonio Rocha,Male,32,930.737.0100x06068,"619 Payne Estates Apt. 408
Alexafurt, UT 39537",DL02078784,Non-Professional,2005-02-02,Ce4213,Stock,Nissan,Ranger,2004,White,PUJ,Steve Brown,"99531 Martinez Causeway Suite 128
Wilsonport, WI 47925",Maria Cristina,Over Speeding,Item job two price care certainly make wonder.,2698,Paid,Sarah Forbes,None,No,No,Yes
9B48FF43,2024-06-29,21:23:29,Brenda Garcia,Female,54,732.593.8244x015,"89934 Emily Viaduct Suite 485
Singhville, MT 62381",DL39740639,Non-Professional,2005-07-23,yM9829,Top,Nissan,Corolla,2023,Blue,Private,Terry Taylor,"64767 Chandler Lights Apt. 125
Copelandmouth, AK 18244",Tibanga,Illegal Parking,Let able Mr after attention friend off theory.,732,Paid,Sergio Garza,First offense,Yes,No,No
69EE74B0,2024-02-01,22:54:56,Pam Armstrong,Female,58,(410)881-7241,"66619 Young Wall
Raymondmouth, IL 12140",DL74335458,Student,1987-11-25,uq2293,Analysis,Ford,Civic,2018,Red,PUB,Mary Rogers,"0608 Olivia Mountains Suite 999
Maryville, HI 67707",Maria Cristina,No Seatbelt,Security fear other suggest huge computer.,2028,Pending,Andrew Jackson,Repeat offense,Yes,No,Yes
D26891F0,2024-01-24,22:33:14,Stephen Hansen,Female,36,001-882-735-4037x316,"USNV Owen
FPO AA 35231",DL83006958,Professional,1988-08-26,VX6099,Explain,Toyota,Lancer,2010,Silver,MC,Claudia Dalton,"37331 Russell Keys Apt. 114
Robertton, NH 73815",Tibanga,Illegal Parking,Home become everyone against anything security too person other.,957,Pending,Nancy Fox,Repeat offense,No,Yes,Yes
F5C5529E,2024-09-30,21:15:49,Kristin Robertson,Male,72,(311)453-8734,"295 Andrea Trail Suite 164
South Joan, MN 73098",DL35404232,Student,2004-12-01,mK6077,Way,Honda,Civic,2020,Silver,Gov't Vehicle,Natalie Perez,"188 Robinson Brook
Port Laurie, OR 21550",Barangay Santiago,No Seatbelt,Throw another such pick worker lead until ahead compare.,2955,Paid,Michele Dixon,Repeat offense,Yes,Yes,Yes
A1E6F526,2024-03-19,09:36:07,Patrick Phillips MD,Female,56,001-163-317-6877,"48966 Griffin Stravenue
West Brian, CO 12604",DL21509512,Professional,1966-05-13,Ds0548,Business,Toyota,Corolla,2006,Black,Private,Karen Barber,"328 Michael Ramp
East Cassandrahaven, MO 74714",Linamon Road,Reckless Driving,True tax worker somebody including raise talk human.,4354,Disputed,Samantha Johnson MD,First offense,No,Yes,Yes
9C4406FB,2024-09-11,09:53:39,Valerie Sawyer,Male,23,328-600-7471,"3550 Lyons Court
East Michael, NY 59915",DL44980585,Non-Professional,1983-09-21,aF5920,Lose,Mitsubishi,Corolla,2004,White,MC,Meghan Snyder,"0610 Christopher Curve Suite 901
West Cameron, MD 53979",Aguinaldo,Illegal Parking,Consumer charge issue century man image none because world admit condition.,4516,Paid,Brandi Howell,First offense,Yes,No,No
